Age Group (copy),Age Group,label position,Female,Age group label,age,Calculation1,Female  ,Male,Number of Records,Year,label
10 to 14,10 to 14,,223K,10 to 14,,10,223K,234K,1,1981,
15 to 19,15 to 19,,256K,,,15,256K,261K,1,1981,
20 to 24,20 to 24,,279K,20 to 24,,20,279K,271K,1,1981,
25 to 29,25 to 29,,252K,,,25,252K,253K,1,1981,
30 to 34,30 to 34,,250K,30 to 34,,30,250K,251K,1,1981,
35 to 39,35 to 39,,201K,,,35,201K,196K,1,1981,
40 to 44,40 to 44,,186K,40 to 44,,40,186K,183K,1,1981,
45 to 49,45 to 49,,180K,,,45,180K,179K,1,1981,
50 to 54,50 to 54,,192K,50 to 54,,50,192K,184K,1,1981,
55 to 59,55 to 59,,201K,,,55,201K,190K,1,1981,
60 to 64,60 to 64,,181K,60 to 64,,60,181K,163K,1,1981,
65 to 69,65 to 69,,181K,,,65,181K,148K,1,1981,
70 to 74,70 to 74,,161K,70 to 74,,70,161K,116K,1,1981,
75 to 79,75 to 79,-510000,121K,,,75,121K,70K,1,1981,
80 to 84,80 to 84,,74K,80 to 84,,80,74K,31K,1,1981,
85 and up,85 and up,,46K,,,85,46K,14K,1,1981,
0 to 4,0 to 4,,226K,0 to 4,,0,226K,235K,1,1991,
5 to 9,5 to 9,,197K,,,5,197K,206K,1,1991,
10 to 14,10 to 14,,180K,10 to 14,,10,180K,189K,1,1991,
15 to 19,15 to 19,,190K,,,15,190K,193K,1,1991,
20 to 24,20 to 24,,307K,20 to 24,,20,307K,274K,1,1991,
25 to 29,25 to 29,,359K,,,25,359K,334K,1,1991,
30 to 34,30 to 34,,288K,30 to 34,,30,288K,282K,1,1991,
35 to 39,35 to 39,,232K,,,35,232K,227K,1,1991,
40 to 44,40 to 44,,232K,40 to 44,,40,232K,224K,1,1991,
45 to 49,45 to 49,,191K,,,45,191K,182K,1,1991,
50 to 54,50 to 54,,172K,50 to 54,,50,172K,169K,1,1991,
55 to 59,55 to 59,,160K,,,55,160K,160K,1,1991,
60 to 64,60 to 64,,158K,60 to 64,,60,158K,150K,1,1991,
65 to 69,65 to 69,,155K,,,65,155K,133K,1,1991,
70 to 74,70 to 74,,135K,70 to 74,,70,135K,100K,1,1991,
75 to 79,75 to 79,-510000,127K,,,75,127K,79K,1,1991,
80 to 84,80 to 84,,94K,80 to 84,,80,94K,47K,1,1991,
85 and up,85 and up,,73K,,,85,73K,23K,1,1991,
0 to 4,0 to 4,,234K,0 to 4,,0,234K,244K,1,2001,
5 to 9,5 to 9,,221K,,,5,221K,231K,1,2001,
10 to 14,10 to 14,,213K,10 to 14,,10,213K,222K,1,2001,
15 to 19,15 to 19,,205K,,,15,205K,212K,1,2001,
20 to 24,20 to 24,,277K,20 to 24,,20,277K,254K,1,2001,
25 to 29,25 to 29,,360K,,,25,360K,332K,1,2001,
30 to 34,30 to 34,,355K,30 to 34,,30,355K,341K,1,2001,
35 to 39,35 to 39,,323K,,,35,323K,311K,1,2001,
40 to 44,40 to 44,,258K,40 to 44,,40,258K,253K,1,2001,
45 to 49,45 to 49,,214K,,,45,214K,204K,1,2001,
50 to 54,50 to 54,,211K,50 to 54,,50,211K,199K,1,2001,
55 to 59,55 to 59,,167K,,,55,167K,156K,1,2001,
60 to 64,60 to 64,,146K,60 to 64,,60,146K,137K,1,2001,
65 to 69,65 to 69,,129K,,,65,129K,119K,1,2001,
70 to 74,70 to 74,,120K,70 to 74,,70,120K,100K,1,2001,
75 to 79,75 to 79,-510000,109K,,,75,109K,76K,1,2001,
80 to 84,80 to 84,,79K,80 to 84,,80,79K,47K,1,2001,
85 and up,85 and up,,81K,,,85,81K,32K,1,2001,
0 to 4,0 to 4,,289K,0 to 4,,0,289K,303K,1,2011,
5 to 9,5 to 9,,237K,,,5,237K,246K,1,2011,
10 to 14,10 to 14,,224K,10 to 14,,10,224K,233K,1,2011,
15 to 19,15 to 19,,232K,,,15,232K,240K,1,2011,
20 to 24,20 to 24,,320K,20 to 24,,20,320K,310K,1,2011,
25 to 29,25 to 29,,421K,,,25,421K,412K,1,2011,
30 to 34,30 to 34,,394K,30 to 34,,30,394K,403K,1,2011,
